dealerCard playerSum action value 
 1 3 0 -0.035052
 4 19 1 0.573460
 3 7 1 0.313466
 2 15 1 0.302703
 3 12 1 0.373333
 6 14 1 0.213270
 3 13 0 0.114943
 5 6 1 0.228722
 3 9 1 0.311250
 6 13 0 -0.000000
 10 10 0 -0.127310
 1 13 1 0.383948
 4 17 0 -0.236364
 6 18 0 -0.625000
 5 5 0 0.018234
 10 14 1 -0.179641
 4 9 1 0.271163
 9 4 0 -0.249754
 3 17 0 -0.413043
 4 13 0 0.106667
 8 14 0 -0.084967
 5 3 0 -0.122429
 7 10 0 0.111340
 3 18 1 0.497436
 7 20 1 0.758242
 10 13 1 -0.035250
 3 19 0 -0.272727
 6 9 1 0.194155
 5 7 1 0.229906
 8 5 1 0.068576
 2 4 0 0.044966
 10 20 0 -0.703704
 2 6 1 0.365805
 6 15 1 0.151042
 8 7 1 0.067929
 5 8 1 0.237812
 5 12 1 0.199066
 6 11 0 0.108108
 3 8 1 0.315533
 2 4 1 0.365189
 7 17 0 -0.113636
 7 3 0 -0.086519
 5 13 1 0.262385
 4 16 0 -0.207547
 2 16 1 0.363380
 5 10 0 0.250040
 9 8 1 -0.028968
 10 18 0 -0.659091
 4 12 0 0.070423
 9 13 1 -0.022718
 8 13 0 0.011689
 2 8 0 0.210050
 5 18 1 0.331703
 5 19 0 -0.447471
 4 15 1 0.238477
 7 15 1 0.216710
 4 14 0 0.046875
 9 7 1 -0.026342
 2 7 1 0.359908
 9 21 0 -0.493056
 8 1 1 0.068541
 5 16 1 0.250633
 4 2 1 0.270161
 7 8 0 -0.008230
 7 9 1 0.172964
 5 20 0 -0.493927
 1 5 1 0.417656
 6 10 0 0.140625
 8 2 0 -0.262626
 10 3 0 -0.387755
 8 19 0 -0.365854
 1 15 1 0.432665
 6 8 0 0.110204
 4 21 1 0.956522
 8 4 0 -0.205181
 10 1 0 -0.421421
 4 20 0 -0.500000
 5 11 0 0.316992
 7 2 0 -0.170635
 6 12 0 0.171429
 7 12 1 0.154717
 6 20 1 0.626506
 9 1 0 -0.339130
 1 20 1 0.871287
 7 14 1 0.130621
 9 6 1 -0.023657
 1 16 0 -0.038462
 3 15 0 0.160714
 6 7 1 0.204383
 8 15 1 0.093817
 6 6 0 -0.034000
 9 14 1 -0.032802
 9 2 0 -0.265907
 2 9 0 0.214358
 10 8 0 -0.195631
 6 2 1 0.195465
 8 10 1 0.066083
 6 5 1 0.203988
 4 18 1 0.460000
 5 21 0 -0.537500
 9 20 0 -0.536765
 1 12 0 0.373134
 6 1 0 -0.208127
 3 6 1 0.313449
 1 14 1 0.372460
 3 2 0 -0.008114
 5 1 0 -0.192270
 3 3 1 0.316931
 1 10 0 0.331663
 8 21 1 0.903308
 2 18 1 0.502564
 8 20 0 -0.573770
 5 14 1 0.257293
 3 4 0 0.007968
 5 15 0 0.077778
 10 4 1 -0.118050
 1 8 0 0.247104
 8 16 1 0.055735
 2 17 0 -0.269231
 9 19 0 -0.526171
 8 9 1 0.067905
 4 7 0 0.109109
 4 10 1 0.269635
 1 17 0 -0.333333
 7 11 1 0.130435
 10 18 1 0.073427
 10 16 0 -0.309735
 7 1 1 0.167648
 7 19 0 -0.400000
 6 3 1 0.199259
 8 11 1 0.017391
 9 18 0 -0.352357
 3 14 0 0.256757
 2 12 1 0.402827
 7 13 0 -0.014286
 6 21 1 1.000000
 1 19 1 0.621429
 5 9 1 0.235406
 8 12 0 0.057377
 10 9 0 -0.122176
 2 11 0 0.319444
 10 7 1 -0.120889
 6 17 0 -0.294118
 2 10 1 0.362972
 10 6 0 -0.279516
 2 19 1 0.608392
 1 11 0 0.263158
 10 17 1 -0.092150
 10 5 1 -0.120659
 7 6 1 0.164406
 8 17 1 0.082257
 3 5 0 0.046939
 7 7 0 0.091816
 9 15 0 -0.079897
 1 9 0 0.252988
 3 20 0 -0.307692
 3 1 1 0.317670
 2 1 0 -0.068931
 2 21 0 -0.600000
 9 11 1 0.030435
 9 12 1 -0.014218
 8 18 0 -0.390244
 10 19 0 -0.288889
 7 4 0 -0.104146
 4 1 1 0.268658
 10 11 1 -0.061321
 2 13 1 0.330544
 4 5 0 -0.000000
 1 6 1 0.414380
 1 18 1 0.451777
 8 6 0 -0.108055
 4 4 1 0.269396
 7 18 0 -0.200000
 4 3 1 0.278941
 9 16 1 -0.030881
 3 11 1 0.280220
 9 17 0 -0.199005
 1 3 1 0.418020
 4 19 0 -0.360000
 1 4 1 0.415824
 8 8 0 -0.025515
 2 2 0 -0.110897
 2 15 0 0.052632
 3 12 0 0.138889
 3 13 1 0.287912
 5 6 0 0.057393
 10 21 1 0.935484
 10 10 1 -0.119770
 6 18 1 0.342105
 3 21 0 -0.294118
 9 10 1 -0.028895
 6 3 0 -0.120388
 5 5 1 0.228804
 2 20 0 -0.600000
 4 9 0 0.174085
 3 17 1 0.354839
 0 0 0 0.000000
